SO2,NO2,O3,PM2.5,,PM10,Cluster,
28.58904,30.53089,36.50569,35.74733,55.19583,2,,
16.74832,26.49118,29.83017,26.75117,39.76367,2,,
7.916648,25.0181,27.86525,29.61333,38.94617,2,,
5.324359,14.69959,35.7871,17.6345,28.57683,1,,
11.81788,20.15874,30.04681,18.34133,38.64917,1,,
10.78098,21.38201,31.20192,23.17133,41.24033,1,,
18.19829,31.23187,37.03191,36.86483,64.062,2,,
11.99617,21.85043,31.80994,27.92867,45.50283,2,,
31.74067,31.50257,29.1692,31.85317,54.6165,2,,
22.47916,35.13311,38.07103,42.11733,72.0135,0,,
21.48916,24.30869,40.47012,29.844,55.06533,2,,
20.73172,25.03252,31.98245,21.27017,39.96367,2,,
18.85759,27.32393,35.99146,32.2835,56.68645,2,,
25.95104,31.86344,38.89993,41.5025,68.29265,0,,
11.19277,24.02047,31.60364,28.3835,65.02833,2,,
6.822196,16.97503,31.42279,16.96767,25.58033,1,,
9.137933,24.11985,28.17081,29.96383,40.71983,2,,
8.176789,17.95048,35.85697,16.01017,28.38269,1,,
21.50338,20.68892,34.46344,19.49175,42.34456,2,,
28.5641,23.49568,32.3582,22.41311,40.86173,2,,
25.07302,32.75882,28.9609,26.7285,44.47483,2,,
20.38062,26.9133,38.93166,28.44417,43.2085,2,,
31.08902,29.75473,37.69623,28.48483,45.31517,2,,
32.24044,24.89992,34.68466,18.35683,33.62833,2,,
11.43057,18.21195,43.57053,16.8445,29.9195,1,,
11.85617,15.86102,42.57216,18.3265,41.59333,1,,
8.736977,19.68406,43.69169,13.396,20.9965,1,,
14.1219,16.5637,34.09003,18.55233,28.51083,1,,
13.87443,23.97029,35.1671,32.71183,41.80283,2,,
11.42985,24.70068,35.07835,32.29883,54.4215,2,,
,,,,,,,
27.13128,33.61317,38.19481,36.9665,73.1675,0,,
24.92155,30.12777,40.46407,34.34917,65.31617,2,,
13.54459,26.46507,44.22988,36.3545,63.30639,2,,
30.74564,36.33269,38.27531,36.06883,76.79729,0,,
17.06309,25.11762,46.48298,29.2695,58.4735,2,,
21.02487,26.14034,41.99962,26.808,51.75817,2,,
19.43536,30.58237,38.76756,26.29617,59.638,2,,
